As gene,Sense gene overlapping
CEACAM16-AS1,CEACAM16 and CEACAM19 and PVR antisense RNA 1
GNG12-AS1,GNG12 and DIRAS3 and WLS antisense RNA 1
TSPOAP1-AS1,TSPOAP1 and SUPT4H1 and RNF43 antisense RNA 1
AQP5-AS1,AQP5 and AQP2 antisense RNA 2
ARHGAP44-AS1,ARHGAP44 and MYOCD antisense RNA 1 |
CALCRL-AS1,CALCRL and TFPI antisense RNA 1
CAVIN2-AS1,CAVIN2 and TMEFF2 antisense RNA 1
CHMP3-AS1,CHMP3 and RNF103 antisense RNA 1
CSRP3-AS1,CSRP3 and E2F8 antisense RNA 1
CYP2U1-AS1,CYP2U1 and SGMS2 antisense RNA 1
C2CD4D-AS1,C2CD4D and THEM5 antisense RNA 1
DDN-AS1,DDN and PRKAG1 antisense RNA 1
DNAJC9-AS1,DNAJC9 and MRPS16 antisense RNA 1
EHMT2-AS1,EHMT2 and SLC44A4 antisense RNA 1
ETV7-AS1,ETV7 and PTX1 antisense RNA 1
GALNT16-AS1,GALNT16 and EXD2 antisense RNA 1
GPAT4-AS1,GPAT4 and GINS4 antisense RNA 1
GPRC5D-AS1,GPRC5D and HEBP1 antisense RNA 1
HDAC2-AS2,HDAC2 and HS3ST5 antisense RNA 2
HORMAD2-AS1,HORMAD2 and MTMR3 antisense RNA 1
HSPA2-AS1,HSPA2 and ZBTB1 antisense RNA 1
KCNK15-AS1,KCNK15 and WISP2 antisense RNA 1 | WISP=CCN5
KIF23-AS1,KIF23 and PAQR5 antisense RNA 1
KRTAP5-AS1,KRTAP5-1/KRTAP5-2 antisense RNA 1
LIX1-AS1,LIX1 and RIOK2 antisense RNA 1
MYL12-AS1,MYL12A and MYL12B antisense RNA 1
NEUROG2-AS1,NEUROG2 and ZGRF1 antisense RNA 1
PEF1-AS1,PEF1 and COL16A1 antisense RNA 1
PPP1R15B-AS1,PPP1R15B and PIK3C2B antisense RNA 1
RCCD1-AS1,RCCD1 and UNC45A antisense RNA 1
SCN1A-AS1,SCN1A and SCN9A antisense RNA 1
SLC12A5-AS1,SLC12A5 and MMP9 antisense RNA 1
SLC25A34-AS1,SLC25A34 and TMEM82 antisense RNA 1
TROAP-AS1,TROAP and PRPH antisense RNA 1
TSBP1-AS1,TSBP1 and BTNL2 antisense RNA 1
TTC36-AS1,TTC36 and KMT2A antisense RNA 1
