isoform_AS;ID_AS;Name_AS;AS_TpmRNA_median;AS_tpmRNA_Q1;AS_tpmRNA_Q3;Name_Sense;Isoform_Sense;ID_Sense;gene_TpmRNA_median;gene_tpmRNA_Q1;gene_tpmRNA_Q3
11ec1eb2-5db5-4a4a-b236-fe90ebb7fab7;ENSG00000178803;ADORA2A-AS1;7,31;6,29;9,99;ADORA2A;6e49cc43-eaa8-487d-b500-00230688a40b;ENSG00000128271;8,856973759;5,66;12,27
32e2c539-23cd-4e4c-b586-b3ce189b26d9;ENSG00000178803;ADORA2A-AS1;6,85;6,02;12,33;ADORA2A;6e49cc43-eaa8-487d-b500-00230688a40b;ENSG00000128271;8,856973759;5,66;12,27
845e055c-b756-4a11-bd90-66ae8b1cdbd5;ENSG00000178803;ADORA2A-AS1;17,91;13,26;27,87;ADORA2A;6e49cc43-eaa8-487d-b500-00230688a40b;ENSG00000128271;8,856973759;5,66;12,27
84ef8983-9357-477f-9ac9-fbd5d400ca6e;ENSG00000258655;ARHGAP5-AS1;5,8;5,77;6,63;ARHGAP5;0bfcd3d9-b466-4ab8-8260-a38076a3f822;ENSG00000100852;5,774005428;5,76;7,19
84ef8983-9357-477f-9ac9-fbd5d400ca6e;ENSG00000258655;ARHGAP5-AS1;5,8;5,77;6,63;ARHGAP5;2e2a3e69-4eb3-4aba-8f4c-867579211b57;ENSG00000100852;11,92812293;8,89;13,52
84ef8983-9357-477f-9ac9-fbd5d400ca6e;ENSG00000258655;ARHGAP5-AS1;5,8;5,77;6,63;ARHGAP5;47d0b732-85fc-44a0-a4da-d39dc82816ba;ENSG00000100852;11,54801086;7,99;12,26
84ef8983-9357-477f-9ac9-fbd5d400ca6e;ENSG00000258655;ARHGAP5-AS1;5,8;5,77;6,63;ARHGAP5;9389ff3c-6328-4303-83d3-0f1feb7a36ae;ENSG00000100852;7,071736458;6,42;8,51
84ef8983-9357-477f-9ac9-fbd5d400ca6e;ENSG00000258655;ARHGAP5-AS1;5,8;5,77;6,63;ARHGAP5;a97a8911-0287-4f0c-bf4e-7ce4dc449304;ENSG00000100852;8,062585805;6,85;10,76
ENST00000371417.4;ENSG00000203993;ARRDC1-AS1;8,61;6,85;12,4;ARRDC1;ENST00000371421.9;ENSG00000197070;36,06501595;19,25;43,93
ENST00000674823.1;ENSG00000203865;ATP1A1-AS1;12,37;8,85;15,14;ATP1A1;ENST00000295598.10;ENSG00000163399;82,14193472;70,17;103,71
ENST00000674823.1;ENSG00000203865;ATP1A1-AS1;12,37;8,85;15,14;ATP1A1;ENST00000479960.1;ENSG00000163399;15,02900598;15,03;15,03
ENST00000426270.5;ENSG00000233554;B4GALT1-AS1;5,99;5,68;6,29;B4GALT1;ENST00000379731.5;ENSG00000086062;66,96519594;53,47;74,6
ENST00000654325.1;ENSG00000233554;B4GALT1-AS1;5,93;5,64;6,59;B4GALT1;ENST00000379731.5;ENSG00000086062;66,96519594;53,47;74,6
4a25001f-68b7-4020-91db-03396911150a;ENSG00000278768;BACE1-AS;5,97;5,74;6,18;BACE1;ENST00000313005.11;ENSG00000186318;15,98425488;8,51;22,74
ENST00000417401.2;ENSG00000224093;BCAR3-AS1;6,63;6,08;8,3;BCAR3;ENST00000539242.5;ENSG00000137936;7,98779465;6,74;11,9
ENST00000602172.1;ENSG00000268001;CARD8-AS1;6,08;5,82;7,18;CARD8;be7e60c1-fab1-4f8a-ba78-983907284de6;ENSG00000105483;15,9755893;11,48;19,89
ENST00000658766.1;ENSG00000241764;CBLL1-AS1;9,66;7,75;11,74;CBLL1;2613cb33-38bf-487a-8353-0ab02eebff96;ENSG00000105879;13,93689375;11,6;23,96
ENST00000535639.5;ENSG00000215039;CD27-AS1;8,61;7,31;11,07;CD27;ENST00000266557.4;ENSG00000139193;5,969971046;5,79;8,06
ENST00000552576.3;ENSG00000258056;CD63-AS1;6,85;5,88;8,34;CD63;2c1db7c6-a367-44f2-85ca-6ef38b5e0450;ENSG00000135404;11,47967237;8,8;12,37
ENST00000552576.3;ENSG00000258056;CD63-AS1;6,85;5,88;8,34;CD63;ENST00000257857.9;ENSG00000135404;347,708348;278,56;388,74
ENST00000552576.3;ENSG00000258056;CD63-AS1;6,85;5,88;8,34;CD63;ENST00000549117.5;ENSG00000135404;7,98779465;6,82;9,64
ENST00000591312.1;ENSG00000266903;CEACAM16-AS1;9,66;7,5;11,46;PVR;ENST00000425690.8;ENSG00000073008;7,308382287;6,29;8,45
ENST00000662585.1;ENSG00000266903;CEACAM16-AS1;6,08;5,78;8,14;PVR;ENST00000425690.8;ENSG00000073008;7,308382287;6,29;8,45
ENST00000517959.1;ENSG00000253982;CLN8-AS1;10,43;6,5;12,34;CLN8;ENST00000331222.6;ENSG00000182372;11,54801086;6,63;12,76
ENST00000518481.2;ENSG00000253982;CLN8-AS1;23,1;17,22;24,52;CLN8;ENST00000331222.6;ENSG00000182372;11,54801086;6,63;12,76
ENST00000518822.1;ENSG00000253982;CLN8-AS1;15,99;15,99;15,99;CLN8;ENST00000331222.6;ENSG00000182372;11,54801086;6,63;12,76
ENST00000549565.3;ENSG00000257303;CNPY2-AS1;12,77;8,14;17,67;CNPY2;ENST00000273308.9;ENSG00000257727;62,21630675;42,31;69,48
ENST00000549565.3;ENSG00000257303;CNPY2-AS1;12,77;8,14;17,67;CNPY2;a799ed6f-5a5d-4cd0-b787-b07d8bf86512;ENSG00000257727;5,79868138;5,74;15,03
ENST00000451795.2;ENSG00000231663;COA6-AS1;8,83;7,51;10,16;COA6;ENST00000366613.1;ENSG00000168275;10,04517049;6,46;12,95
