Chr;Pos_init;Pos_end;Strand;Size;Id;AS;N transcripts
Y;2966844;3002626;-1;35782;ENSG00000233070;ZFY-AS1;2
Y;14793642;14804033;-1;10391;ENSG00000228787;NLGN4Y-AS1;1
13;24315725;24321598;-1;5873;ENSG00000240868;C1QTNF9-AS1;1
13;28136843;28138193;-1;1350;ENSG00000261485;PAN3-AS1;1
13;33180401;33281584;1;101183;ENSG00000236581;STARD13-AS;49
13;30881933;30933846;-1;51913;ENSG00000224743;TEX26-AS1;18
13;29476515;29490105;-1;13590;ENSG00000179141;MTUS2-AS1;3
13;29239379;29250554;-1;11175;ENSG00000236758;MTUS2-AS2;3
13;38821798;38827570;-1;5772;ENSG00000225350;FREM2-AS1;1
13;24252749;24254439;-1;1690;ENSG00000227213;SPATA13-AS1;1
13;27162855;27169135;1;6280;ENSG00000232162;USP12-AS1;1
13;60012734;60044357;1;31623;ENSG00000227528;DIAPH3-AS1;4
13;66990886;67002007;1;11121;ENSG00000233840;PCDH9-AS4;1
13;79477364;79481231;-1;3867;ENSG00000232132;NDFIP2-AS1;1
13;66825169;66915031;1;89862;ENSG00000228842;PCDH9-AS2;2
13;77919689;78617328;1;697639;ENSG00000234377;OBI1-AS1;14
18;6728821;6729862;-1;1041;ENSG00000266441;ARHGAP28-AS1;1
13;79406293;79427317;1;21024;ENSG00000227354;RBM26-AS1;8
13;26606544;26641793;-1;35249;ENSG00000237001;WASF3-AS1;9
13;66977432;66985776;1;8344;ENSG00000225263;PCDH9-AS3;1
18;11851414;11852751;-1;1337;ENSG00000267165;CHMP1B-AS1;1
21;17835016;17885608;-1;50592;ENSG00000231755;CHODL-AS1;1
18;9615264;9619363;1;4099;ENSG00000263627;PPP4R1-AS1;1
18;4264602;4295405;1;30803;ENSG00000261520;DLGAP1-AS5;4
18;26655737;27190698;1;534961;ENSG00000260372;AQP4-AS1;17
22;15699361;15703403;-1;4042;ENSG00000236666;POTEH-AS1;1
21;29748175;29764002;1;15827;ENSG00000174680;GRIK1-AS1;7
21;29370019;29376339;-1;6320;ENSG00000232118;BACH1-AS1;2
18;3962353;4024150;1;61797;ENSG00000263878;DLGAP1-AS4;8
22;31205264;31205616;-1;352;ENSG00000254835;RNF185-AS1;1
18;23994213;24015339;-1;21126;ENSG00000264745;TTC39C-AS1;1
22;30239194;30240538;1;1344;ENSG00000232530;LIF-AS1;1
22;25876854;25903247;-1;26393;ENSG00000231933;MYO18B-AS1;28
18;48162039;48184725;1;22686;ENSG00000286583;ZBTB7C-AS1;1
20;5990943;6005821;-1;14878;ENSG00000278719;MCM8-AS1;1
20;1633508;1648472;1;14964;ENSG00000237914;SIRPG-AS1;2
20;11909404;11918677;-1;9273;ENSG00000236526;BTBD3-AS1;1
20;18809728;18830153;-1;20425;ENSG00000149443;SCP2D1-AS1;2
13;100464440;100481205;-1;16765;ENSG00000234650;PCCA-AS1;3
13;98577244;98578830;1;1586;ENSG00000224418;STK24-AS1;1
21;32772100;32955437;1;183337;ENSG00000205930;C21orf62-AS1;13
13;77599755;77606551;-1;6796;ENSG00000224347;SCEL-AS1;2
20;21511447;21512309;1;862;ENSG00000258197;NKX2-2-AS1;1
18;6256747;6260934;1;4187;ENSG00000264707;L3MBTL4-AS1;1
21;32020966;32021782;-1;816;ENSG00000237138;HUNK-AS1;1
18;45423764;45483218;-1;59454;ENSG00000267097;SLC14A2-AS1;4
20;18674395;18698709;-1;24314;ENSG00000233993;DTD1-AS1;1
20;8019180;8043512;1;24332;ENSG00000229766;TMX4-AS1;5
20;1947246;2030028;1;82782;ENSG00000233896;PDYN-AS1;2
13;92701389;92721614;-1;20225;ENSG00000235984;GPC5-AS1;2
22;30008742;30080480;-1;71738;ENSG00000227117;HORMAD2-AS1;3
20;13237801;13239674;-1;1873;ENSG00000226263;ISM1-AS1;1
20;14884250;14929528;-1;45278;ENSG00000235914;MACROD2-AS1;4
13;92339794;92379536;-1;39742;ENSG00000232885;GPC5-AS2;2
18;67516546;67899619;1;383073;ENSG00000265533;DSEL-AS1;1
22;30246205;30246998;1;793;ENSG00000268812;LIF-AS2;1
22;32583300;32584204;1;904;ENSG00000236054;SYN3-AS1;1
13;100708325;101059286;1;350961;ENSG00000233009;NALCN-AS1;1
13;66303871;66323561;1;19690;ENSG00000234527;PCDH9-AS1;1
13;98435405;98435840;-1;435;ENSG00000231194;FARP1-AS1;1
13;44575893;44580432;1;4539;ENSG00000278156;TSC22D1-AS1;3
21;37717102;37719569;-1;2467;ENSG00000233213;KCNJ6-AS1;1
22;36847372;36870441;-1;23069;ENSG00000183822;NCF4-AS1;2
21;26393635;26569252;1;175617;ENSG00000197934;CYYR1-AS1;2
21;14582202;14598303;1;16101;ENSG00000223662;SAMSN1-AS1;1
13;113128155;113128880;-1;725;ENSG00000231882;F10-AS1;1
13;95479444;95533910;-1;54466;ENSG00000223392;CLDN10-AS1;1
22;25561117;25564719;-1;3602;ENSG00000234884;GRK3-AS1;6
X;3659487;3668192;1;8705;ENSG00000236188;PRKX-AS1;1
X;1401769;1414028;1;12259;ENSG00000236017;ASMTL-AS1;5
20;42968743;42971492;1;2749;ENSG00000227599;PTPRT-AS1;1
22;41174591;41197456;-1;22865;ENSG00000231993;EP300-AS1;1
20;44694892;44746021;-1;51129;ENSG00000244558;KCNK15-AS1;4
21;32393130;32393960;1;830;ENSG00000256073;URB1-AS1;1
18;3878058;3897069;1;19011;ENSG00000263724;DLGAP1-AS3;5
21;42102134;42108534;-1;6400;ENSG00000184385;UMODL1-AS1;1
21;42009194;42055130;1;45936;ENSG00000237232;ZNF295-AS1;11
13;109101261;109101919;-1;658;ENSG00000229938;MYO16-AS2;1
13;109163902;109201483;-1;37581;ENSG00000236242;MYO16-AS1;1
21;36060432;36064408;1;3976;ENSG00000236677;SETD4-AS1;1
21;36069642;36126640;-1;56998;ENSG00000230212;CBR1-AS1;2
13;77779723;77844145;1;64422;ENSG00000225579;EDNRB-AS1;3
13;48001389;48002552;1;1163;ENSG00000227848;SUCLA2-AS1;1
13;98832084;98834629;1;2545;ENSG00000229918;DOCK9-AS1;1
22;26241331;26254092;-1;12761;ENSG00000224192;SEZ6L-AS1;1
18;74590317;74598885;-1;8568;ENSG00000264247;ZNF407-AS1;10
20;20258407;20267809;-1;9402;ENSG00000243810;CFAP61-AS1;1
13;94154193;94187991;-1;33798;ENSG00000236520;GPC6-AS1;1
13;102367539;102373666;1;6127;ENSG00000234445;FGF14-AS1;2
13;102394630;102395703;1;1073;ENSG00000272143;FGF14-AS2;1
21;36966461;36975164;1;8703;ENSG00000224790;HLCS-AS1;3
13;93818424;93836144;-1;17720;ENSG00000224394;GPC6-AS2;1
20;50645471;50662275;1;16804;ENSG00000234693;RIPOR3-AS1;2
