ID_AS;Chr_AS;Pos_init_AS;Pos_end_AS;Strand_AS;Name_As;Name_Sense;Chr_Sense;Pos_init_Sense;Pos_end_Sense;Strand_Sense;Id_Sense
ENSG00000233070;Y;2966844;3002626;-1;ZFY-AS1;ZFY;Y;2935281;2982506;1;ENSG00000067646
ENSG00000228787;Y;14793642;14804033;-1;NLGN4Y-AS1;NLGN4Y;Y;14522573;14845654;1;ENSG00000165246
ENSG00000240868;13;24315725;24321598;-1;C1QTNF9-AS1;C1QTNF9;13;24307166;24322535;1;ENSG00000240654
ENSG00000261485;13;28136843;28138193;-1;PAN3-AS1;PAN3;13;28138506;28295335;1;ENSG00000152520
ENSG00000236581;13;33180401;33281584;1;STARD13-AS;STARD13;13;33103137;33350630;-1;ENSG00000133121
ENSG00000224743;13;30881933;30933846;-1;TEX26-AS1;TEX26;13;30932656;30975500;1;ENSG00000175664
ENSG00000179141;13;29476515;29490105;-1;MTUS2-AS1;MTUS2;13;28820339;29505947;1;ENSG00000132938
ENSG00000236758;13;29239379;29250554;-1;MTUS2-AS2;MTUS2;13;28820339;29505947;1;ENSG00000132938
ENSG00000225350;13;38821798;38827570;-1;FREM2-AS1;FREM2;13;38687077;38887131;1;ENSG00000150893
ENSG00000227213;13;24252749;24254439;-1;SPATA13-AS1;SPATA13;13;23979805;24307074;1;ENSG00000182957
ENSG00000232162;13;27162855;27169135;1;USP12-AS1;USP12;13;27066156;27171811;-1;ENSG00000152484
ENSG00000227528;13;60012734;60044357;1;DIAPH3-AS1;DIAPH3;13;59665583;60163928;-1;ENSG00000139734
ENSG00000233840;13;66990886;67002007;1;PCDH9-AS4;PCDH9;13;66302834;67230445;-1;ENSG00000184226
ENSG00000232132;13;79477364;79481231;-1;NDFIP2-AS1;NDFIP2;13;79481124;79556077;1;ENSG00000102471
ENSG00000228842;13;66825169;66915031;1;PCDH9-AS2;PCDH9;13;66302834;67230445;-1;ENSG00000184226
ENSG00000234377;13;77919689;78617328;1;OBI1-AS1;OBI1;13;78614289;78659155;-1;ENSG00000152193
ENSG00000266441;18;6728821;6729862;-1;ARHGAP28-AS1;ARHGAP28;18;6729716;6915716;1;ENSG00000088756
ENSG00000227354;13;79406293;79427317;1;RBM26-AS1;RBM26;13;79311824;79406477;-1;ENSG00000139746
ENSG00000237001;13;26606544;26641793;-1;WASF3-AS1;WASF3;13;26557683;26688948;1;ENSG00000132970
ENSG00000225263;13;66977432;66985776;1;PCDH9-AS3;PCDH9;13;66302834;67230445;-1;ENSG00000184226
ENSG00000267165;18;11851414;11852751;-1;CHMP1B-AS1;CHMP1B;18;11851413;11854444;1;ENSG00000255112
ENSG00000231755;21;17835016;17885608;-1;CHODL-AS1;CHODL;21;17901263;18267373;1;ENSG00000154645
ENSG00000263627;18;9615264;9619363;1;PPP4R1-AS1;PPP4R1;18;9546791;9615240;-1;ENSG00000154845
ENSG00000261520;18;4264602;4295405;1;DLGAP1-AS5;DLGAP1;18;3496032;4455307;-1;ENSG00000170579
ENSG00000260372;18;26655737;27190698;1;AQP4-AS1;AQP4;18;26852043;26865771;-1;ENSG00000171885
ENSG00000236666;22;15699361;15703403;-1;POTEH-AS1;POTEH;22;15690026;15721631;1;ENSG00000198062
ENSG00000174680;21;29748175;29764002;1;GRIK1-AS1;GRIK1;21;29536933;29940033;-1;ENSG00000171189
ENSG00000232118;21;29370019;29376339;-1;BACH1-AS1;BACH1;21;29194071;29630751;1;ENSG00000156273
ENSG00000263878;18;3962353;4024150;1;DLGAP1-AS4;DLGAP1;18;3496032;4455307;-1;ENSG00000170579
ENSG00000254835;22;31205264;31205616;-1;RNF185-AS1;RNF185;22;31160182;31207019;1;ENSG00000138942
ENSG00000264745;18;23994213;24015339;-1;TTC39C-AS1;TTC39C;18;23992773;24135610;1;ENSG00000168234
ENSG00000232530;22;30239194;30240538;1;LIF-AS1;LIF;22;30240453;30246759;-1;ENSG00000128342
ENSG00000231933;22;25876854;25903247;-1;MYO18B-AS1;MYO18B;22;25742144;26031045;1;ENSG00000133454
ENSG00000286583;18;48162039;48184725;1;ZBTB7C-AS1;ZBTB7C;18;48026672;48410752;-1;ENSG00000184828
ENSG00000278719;20;5990943;6005821;-1;MCM8-AS1;MCM8;20;5950652;5998977;1;ENSG00000125885
ENSG00000237914;20;1633508;1648472;1;SIRPG-AS1;SIRPG;20;1629152;1657779;-1;ENSG00000089012
ENSG00000236526;20;11909404;11918677;-1;BTBD3-AS1;BTBD3;20;11890723;11926609;1;ENSG00000132640
ENSG00000149443;20;18809728;18830153;-1;SCP2D1-AS1;SCP2D1;20;18813783;18814378;1;ENSG00000132631
ENSG00000234650;13;100464440;100481205;-1;PCCA-AS1;PCCA;13;100089015;100530437;1;ENSG00000175198
ENSG00000224418;13;98577244;98578830;1;STK24-AS1;STK24;13;98445185;98577940;-1;ENSG00000102572
ENSG00000205930;21;32772100;32955437;1;C21orf62-AS1;C21orf62;21;32790673;32813743;-1;ENSG00000205929
ENSG00000224347;13;77599755;77606551;-1;SCEL-AS1;SCEL;13;77535674;77645263;1;ENSG00000136155
ENSG00000258197;20;21511447;21512309;1;NKX2-2-AS1;NKX2-2;20;21511017;21514064;-1;ENSG00000125820
ENSG00000264707;18;6256747;6260934;1;L3MBTL4-AS1;L3MBTL4;18;5954706;6415237;-1;ENSG00000154655
ENSG00000237138;21;32020966;32021782;-1;HUNK-AS1;HUNK;21;31873020;32044633;1;ENSG00000142149
ENSG00000267097;18;45423764;45483218;-1;SLC14A2-AS1;SLC14A2;18;45212995;45683688;1;ENSG00000132874
ENSG00000233993;20;18674395;18698709;-1;DTD1-AS1;DTD1;20;18587942;18766644;1;ENSG00000125821
ENSG00000229766;20;8019180;8043512;1;TMX4-AS1;TMX4;20;7977346;8019805;-1;ENSG00000125827
ENSG00000233896;20;1947246;2030028;1;PDYN-AS1;PDYN;20;1978757;1994285;-1;ENSG00000101327
ENSG00000235984;13;92701389;92721614;-1;GPC5-AS1;GPC5;13;91398621;92873682;1;ENSG00000179399
ENSG00000227117;22;30008742;30080480;-1;HORMAD2-AS1;HORMAD2;22;30080464;30177075;1;ENSG00000176635
ENSG00000227117;22;30008742;30080480;-1;HORMAD2-AS1;MTMR3;22;29883169;30030868;1;ENSG00000100330
ENSG00000226263;20;13237801;13239674;-1;ISM1-AS1;ISM1;20;13221274;13300651;1;ENSG00000101230
ENSG00000235914;20;14884250;14929528;-1;MACROD2-AS1;MACROD2;20;13995369;16053197;1;ENSG00000172264
ENSG00000232885;13;92339794;92379536;-1;GPC5-AS2;GPC5;13;91398621;92873682;1;ENSG00000179399
ENSG00000265533;18;67516546;67899619;1;DSEL-AS1;DSEL;18;67506587;67516720;-1;ENSG00000171451
ENSG00000268812;22;30246205;30246998;1;LIF-AS2;LIF;22;30240453;30246759;-1;ENSG00000128342
ENSG00000236054;22;32583300;32584204;1;SYN3-AS1;SYN3;22;32507820;33058381;-1;ENSG00000185666
ENSG00000233009;13;100708325;101059286;1;NALCN-AS1;NALCN;13;101053776;101416508;-1;ENSG00000102452
ENSG00000234527;13;66303871;66323561;1;PCDH9-AS1;PCDH9;13;66302834;67230445;-1;ENSG00000184226
ENSG00000231194;13;98435405;98435840;-1;FARP1-AS1;FARP1;13;98142562;98455176;1;ENSG00000152767
ENSG00000278156;13;44575893;44580432;1;TSC22D1-AS1;TSC22D1;13;44432143;44577147;-1;ENSG00000102804
ENSG00000233213;21;37717102;37719569;-1;KCNJ6-AS1;KCNJ6;21;37607373;38121345;-1;ENSG00000157542
ENSG00000183822;22;36847372;36870441;-1;NCF4-AS1;NCF4;22;36860988;36878017;1;ENSG00000100365
ENSG00000197934;21;26393635;26569252;1;CYYR1-AS1;CYYR1;21;26466209;26573286;-1;ENSG00000166265
ENSG00000223662;21;14582202;14598303;1;SAMSN1-AS1;SAMSN1;21;14485228;14658821;-1;ENSG00000155307
ENSG00000231882;13;113128155;113128880;-1;F10-AS1;F10;13;113122799;113149529;1;ENSG00000126218
ENSG00000223392;13;95479444;95533910;-1;CLDN10-AS1;CLDN10;13;95433604;95579759;1;ENSG00000134873
ENSG00000234884;22;25561117;25564719;-1;GRK3-AS1;GRK3;22;25564675;25729294;1;ENSG00000100077
ENSG00000236188;X;3659487;3668192;1;PRKX-AS1;PRKX;X;3604340;3713649;-1;ENSG00000183943
ENSG00000236017;X;1401769;1414028;1;ASMTL-AS1;ASMTL;X;1403139;1453762;-1;ENSG00000169093
ENSG00000227599;20;42968743;42971492;1;PTPRT-AS1;PTPRT;20;42072752;43189970;-1;ENSG00000196090
ENSG00000231993;22;41174591;41197456;-1;EP300-AS1;EP300;22;41092592;41180077;1;ENSG00000100393
ENSG00000244558;20;44694892;44746021;-1;KCNK15-AS1;KCNK15;20;44745865;44752313;1;ENSG00000124249
ENSG00000244558;20;44694892;44746021;-1;KCNK15-AS1;CCN5;20;44714844;44728509;1;ENSG00000064205
ENSG00000244558;20;44694892;44746021;-1;KCNK15-AS1;MTMR3;22;29883169;30030868;1;ENSG00000100330
ENSG00000256073;21;32393130;32393960;1;URB1-AS1;URB1;21;32311018;32393012;-1;ENSG00000142207
ENSG00000263724;18;3878058;3897069;1;DLGAP1-AS3;DLGAP1;18;3496032;4455307;-1;ENSG00000170579
ENSG00000184385;21;42102134;42108534;-1;UMODL1-AS1;UMODL1;21;42062959;42143453;1;ENSG00000177398
ENSG00000229938;13;109101261;109101919;-1;MYO16-AS2;MYO16;13;108596152;109208005;1;ENSG00000041515
ENSG00000236242;13;109163902;109201483;-1;MYO16-AS1;MYO16;13;108596152;109208005;1;ENSG00000041515
ENSG00000236677;21;36060432;36064408;1;SETD4-AS1;SETD4;21;36034541;36079389;-1;ENSG00000185917
ENSG00000230212;21;36069642;36126640;-1;CBR1-AS1;CBR1;21;36069941;36073166;1;ENSG00000159228
ENSG00000225579;13;77779723;77844145;1;EDNRB-AS1;EDNRB;13;77895481;77975529;-1;ENSG00000136160
ENSG00000227848;13;48001389;48002552;1;SUCLA2-AS1;SUCLA2;13;47745736;48037968;-1;ENSG00000136143
ENSG00000229918;13;98832084;98834629;1;DOCK9-AS1;DOCK9;13;98793429;99086625;-1;ENSG00000088387
ENSG00000224192;22;26241331;26254092;-1;SEZ6L-AS1;SEZ6L;22;26169462;26383597;1;ENSG00000100095
ENSG00000264247;18;74590317;74598885;-1;ZNF407-AS1;ZNF407;18;74597870;75065671;1;ENSG00000215421
ENSG00000243810;20;20258407;20267809;-1;CFAP61-AS1;CFAP61;20;20052514;20360703;1;ENSG00000089101
ENSG00000236520;13;94154193;94187991;-1;GPC6-AS1;GPC6;13;93226807;94408020;1;ENSG00000183098
ENSG00000234445;13;102367539;102373666;1;FGF14-AS1;FGF14;13;101710804;102402457;-1;ENSG00000102466
ENSG00000272143;13;102394630;102395703;1;FGF14-AS2;FGF14;13;101710804;102402457;-1;ENSG00000102466
ENSG00000224790;21;36966461;36975164;1;HLCS-AS1;HLCS;21;36748626;36990236;-1;ENSG00000159267
ENSG00000224394;13;93818424;93836144;-1;GPC6-AS2;GPC6;13;93226807;94408020;1;ENSG00000183098
ENSG00000234693;20;50645471;50662275;1;RIPOR3-AS1;RIPOR3;20;50586108;50691542;-1;ENSG00000042062
ENSG00000229558;13;23418971;23428869;1;SACS-AS1;SACS;13;23288689;23433763;-1;ENSG00000151835
ENSG00000233672;13;50862172;50910764;-1;RNASEH2B-AS1;RNASEH2B;13;50909747;51024120;1;ENSG00000136104
ENSG00000236388;20;34441592;34442025;-1;ITCH-AS1;ITCH;20;34363241;34540748;1;ENSG00000078747
ENSG00000224574;21;45407386;45410065;-1;COL18A1-AS2;COL18A1;21;45405165;45513720;1;ENSG00000182871
ENSG00000183535;21;45419716;45425070;-1;COL18A1-AS1;COL18A1;21;45405165;45513720;1;ENSG00000182871
ENSG00000238194;20;59624904;59628295;-1;PHACTR3-AS1;PHACTR3;20;59577509;59847711;1;ENSG00000087495
ENSG00000227256;21;32277863;32280988;1;MIS18A-AS1;MIS18A;21;32268228;32279049;-1;ENSG00000159055
ENSG00000232623;21;32306464;32308737;-1;MRAP-AS1;MRAP;21;32291813;32314784;1;ENSG00000170262
ENSG00000231944;X;72688950;72712348;1;PHKA1-AS1;PHKA1;X;72578814;72714319;-1;ENSG00000067177
ENSG00000230844;X;46545438;46548841;1;ZNF674-AS1;ZNF674;X;46497725;46545457;-1;ENSG00000251192
ENSG00000236276;X;43949732;43971582;1;NDP-AS1;NDP;X;43948776;43973395;-1;ENSG00000124479
ENSG00000233661;X;63349646;63352178;1;SPIN4-AS1;SPIN4;X;63347228;63351332;-1;ENSG00000186767
ENSG00000233695;13;113815630;113845744;1;GAS6-AS1;GAS6;13;113820549;113864076;-1;ENSG00000183087
ENSG00000229111;13;48077137;48079991;1;MED4-AS1;MED4;13;48053323;48095131;-1;ENSG00000136146
ENSG00000264859;18;31542146;31556948;-1;DSG2-AS1;DSG2;18;31498177;31549008;1;ENSG00000046604
