Chr,Pos_init,Pos_end,Strand,Id,Sense gene,,
chrY,2935281,2982506,1,ENSG00000067646,ZFY,,
chrY,14522573,14845654,1,ENSG00000165246,NLGN4Y,,
chr13,24307166,24322535,1,ENSG00000240654,C1QTNF9,,
chr13,28138506,28295335,1,ENSG00000152520,PAN3,,
chr13,26557683,26688948,1,ENSG00000132970,WASF3,,
chr13,44143150,44161257,-1,ENSG00000139656,SMIM2,,
chr13,77535674,77645263,1,ENSG00000136155,SCEL,,
chr13,44432143,44577147,-1,ENSG00000102804,TSC22D1,,
chr13,38687077,38887131,1,ENSG00000150893,FREM2,,
chr18,11851413,11854444,1,ENSG00000255112,CHMP1B,,
chr18,3496032,4455307,-1,ENSG00000170579,DLGAP1,,
chr13,99200774,99386504,1,ENSG00000134882,UBAC2,,
chr13,23979805,24307074,1,ENSG00000182957,SPATA13,,
chr18,9102630,9134345,1,ENSG00000178127,NDUFV2,,
chr13,59665583,60163928,-1,ENSG00000139734,DIAPH3,,
chr21,32311018,32393012,-1,ENSG00000142207,URB1,,
chr21,26466209,26573286,-1,ENSG00000166265,CYYR1,,
chr13,77895481,77975529,-1,ENSG00000136160,EDNRB,,
chr18,45212995,45683688,1,ENSG00000132874,SLC14A2,,
chr13,27066156,27171811,-1,ENSG00000152484,USP12,,
chr13,75620434,75859870,1,ENSG00000136153,LMO7,,
chr20,1629152,1657779,-1,ENSG00000089012,SIRPG,,
chr20,7977346,8019805,-1,ENSG00000125827,TMX4,,
chr20,21511017,21514064,-1,ENSG00000125820,NKX2-2,,
chr22,32507820,33058381,-1,ENSG00000185666,SYN3,,
chr20,1978757,1994285,-1,ENSG00000101327,PDYN,,
chr13,94709622,94712545,-1,ENSG00000125285,SOX21,,
chr22,30080464,30177075,1,ENSG00000176635,HORMAD2,,
chr20,11890723,11926609,1,ENSG00000132640,BTBD3,,
chr22,36860988,36878017,1,ENSG00000100365,NCF4,,
chr20,13221274,13300651,1,ENSG00000101230,ISM1,,
chr18,23992773,24135610,1,ENSG00000168234,TTC39C,,
chr21,31873020,32044633,1,ENSG00000142149,HUNK,,
chr21,32733899,32771792,-1,ENSG00000159086,PAXBP1,,
chr21,32790673,32813743,-1,ENSG00000205929,C21orf62,,
chr13,110305812,110513209,1,ENSG00000134871,COL4A2,,
chr13,33103137,33350630,-1,ENSG00000133121,STARD13,,
chr13,66302834,67230445,-1,ENSG00000184226,PCDH9,,
chr18,48026672,48410752,-1,ENSG00000184828,ZBTB7C,,
chr22,30240453,30246759,-1,ENSG00000128342,LIF,,
chr13,30932656,30975500,1,ENSG00000175664,TEX26,,
chr13,108596152,109208005,1,ENSG00000041515,MYO16,,
chr22,43528744,43812337,-1,ENSG00000186976,EFCAB6,,
chr22,46762617,47175699,1,ENSG00000054611,TBC1D22A,,
chr21,37607373,38121345,-1,ENSG00000157542,KCNJ6,,
chr21,17901263,18267373,1,ENSG00000154645,CHODL,,
chr13,95433604,95579759,1,ENSG00000134873,CLDN10,,
chr21,29194071,29630751,1,ENSG00000156273,BACH1,,
chr20,25673195,25696853,-1,ENSG00000130684,ZNF337,,
chrX,3604340,3713649,-1,ENSG00000183943,PRKX,,
chr13,100089015,100530437,1,ENSG00000175198,PCCA,,
chrX,1403139,1453762,-1,ENSG00000169093,ASMTL,,
chr21,41986831,42010387,-1,ENSG00000173276,ZBTB21,,
chr13,78614289,78659155,-1,ENSG00000152193,OBI1,,
chr21,36069941,36073166,1,ENSG00000159228,CBR1,,
chr13,113122799,113149529,1,ENSG00000126218,F10,,
chr21,36135079,36146562,1,ENSG00000159231,CBR3,,
chr13,91398621,92873682,1,ENSG00000179399,GPC5,,
chr13,112894378,113099742,1,ENSG00000126217,MCF2L,,
chr20,50586108,50691542,-1,ENSG00000042062,RIPOR3,,
chr20,44745865,44752313,1,ENSG00000124249,KCNK15,,
chr21,17593653,17612945,-1,ENSG00000154640,BTG3,,
chr13,93226807,94408020,1,ENSG00000183098,GPC6,,
chr21,14485228,14658821,-1,ENSG00000155307,SAMSN1,,
chr18,76357682,76495242,-1,ENSG00000101493,ZNF516,,
chr13,98142562,98455176,1,ENSG00000152767,FARP1,,
chr13,50909747,51024120,1,ENSG00000136104,RNASEH2B,,
chr20,33993646,34108308,1,ENSG00000125970,RALY,,
chr20,20052514,20360703,1,ENSG00000089101,CFAP61,,
chr21,36034541,36079389,-1,ENSG00000185917,SETD4,,
chrX,23334849,23404374,1,ENSG00000165186,PTCHD1,,
chr21,45405165,45513720,1,ENSG00000182871,COL18A1,,
chr22,26169462,26383597,1,ENSG00000100095,SEZ6L,,
chr10,274190,689668,-1,ENSG00000151240,DIP2C,,
chr13,46053186,46105033,-1,ENSG00000080618,CPB2,,
chrX,43948776,43973395,-1,ENSG00000124479,NDP,,
chr10,1177313,1737525,-1,ENSG00000185736,ADARB2,,
chr13,101053776,101416508,-1,ENSG00000102452,NALCN,,
chr21,32268228,32279049,-1,ENSG00000159055,MIS18A,,
chr21,32291813,32314784,1,ENSG00000170262,MRAP,,
chr22,43039516,43089419,-1,ENSG00000100271,TTLL1,,
chr13,113820549,113864076,-1,ENSG00000183087,GAS6,,
chr13,48053323,48095131,-1,ENSG00000136146,MED4,,
chr20,63939829,63956416,-1,ENSG00000198276,UCKL1,,
chr13,79311824,79406477,-1,ENSG00000139746,RBM26,,
chr20,57168753,57266641,-1,ENSG00000101144,BMP7,,
chr21,39184176,39321559,-1,ENSG00000185658,BRWD1,,
chr20,18813783,18814378,1,ENSG00000132631,SCP2D1,,
chr13,47745736,48037968,-1,ENSG00000136143,SUCLA2,,
chr18,55222185,55664787,-1,ENSG00000196628,TCF4,,
chr22,41092592,41180077,1,ENSG00000100393,EP300,,
chr21,40010999,40847158,-1,ENSG00000171587,DSCAM,,
chr13,45393316,45418455,-1,ENSG00000174032,SLC25A30,,
chr13,45333471,45341284,-1,ENSG00000133112,TPT1,,
chrX,91434595,91438584,1,ENSG00000174740,PABPC5,,
chr13,46831546,46897076,-1,ENSG00000102468,HTR2A,,
chr20,62307955,62367312,-1,ENSG00000130702,LAMA5,,
chr22,28883572,29057488,1,ENSG00000183579,ZNRF3,,
chr13,36301638,36370180,-1,ENSG00000133104,SPART,,
chr13,98445185,98577940,-1,ENSG00000102572,STK24,,
chr20,59577509,59847711,1,ENSG00000087495,PHACTR3,,
chr6,13357830,13487662,-1,ENSG00000145990,GFOD1,,
chr6,15246069,15522042,1,ENSG00000008083,JARID2,,
chr6,10980759,11044305,-1,ENSG00000197977,ELOVL2,,
chr13,101710804,102402457,-1,ENSG00000102466,FGF14,,
chr22,41205282,41231271,1,ENSG00000100395,L3MBTL2,,
chr6,28570535,28616212,-1,ENSG00000232040,ZBED9,,
chr10,23202696,23344845,-1,ENSG00000179133,C10orf67,,
chr21,42653621,42775509,1,ENSG00000160191,PDE9A,,
chr10,17315421,17454595,-1,ENSG00000148488,ST8SIA6,,
chrX,101009346,101052116,-1,ENSG00000188917,TRMT2B,,
chr22,31944522,31957603,1,ENSG00000128245,YWHAH,,
chr10,27672874,27746060,-1,ENSG00000150051,MKX,,
chr15,40087890,40108892,-1,ENSG00000104081,BMF,,
chr13,41566835,41961120,-1,ENSG00000102763,VWA8,,
chr10,17951839,18043292,1,ENSG00000148482,SLC39A12,,
chr15,39581079,39599466,1,ENSG00000137801,THBS1,,
chr15,40217428,40277487,1,ENSG00000137843,PAK6,,
chr22,24417879,24442357,1,ENSG00000128271,ADORA2A,,
chr13,20973036,21061586,-1,ENSG00000150457,LATS2,,
chrX,70444835,70505490,1,ENSG00000082458,DLG3,,
chr13,31846713,32299125,1,ENSG00000073910,FRY,,
chr14,33924227,34462774,-1,ENSG00000129521,EGLN3,,
chr20,35433347,35454746,-1,ENSG00000125965,GDF5,,
chr20,35455164,35519280,1,ENSG00000126001,CEP250,,
chr10,11823339,11872277,1,ENSG00000148426,PROSER2,,
chrX,63347228,63351332,-1,ENSG00000186767,SPIN4,,
chr22,29883169,30030868,1,ENSG00000100330,MTMR3,,
chr18,26852043,26865771,-1,ENSG00000171885,AQP4,,
chr13,51354077,51454264,-1,ENSG00000102786,INTS6,,
chr14,75427716,75474111,1,ENSG00000140044,JDP2,,
chr6,4706159,4955551,1,ENSG00000153046,CDYL,,
chr21,44246339,44262216,-1,ENSG00000142182,DNMT3L,,
chr22,25742144,26031045,1,ENSG00000133454,MYO18B,,
chr13,28820339,29505947,1,ENSG00000132938,MTUS2,,
chr15,26971181,27541984,1,ENSG00000182256,GABRG3,,
chr18,58671465,58754477,1,ENSG00000172175,MALT1,,
